Name,Address,City,Zip,Date,Score,Type,Lat,Lng
4TH STREET PRIMARY CENTER,469 AMALIA AVE,LOS ANGELES,90022,09/04/2013,99,Restaurant,34.027324,-118.154338
SOLIS LEARNING ACADEMY,319 N HUMPHREYS AVE,LOS ANGELES,90022,08/29/2013,100,Restaurant,34.0391035,-118.1713877
THE BELL SHELTER KITCHEN,5600 RICKENBACKER RD 2AB,BELL,90201,07/30/2013,91,Restaurant,33.9775142,-118.1870156
WEINGART CENTER CAFE,554 S SAN PEDRO ST,LOS ANGELES,90013,07/29/2013,94,Restaurant,34.0425979,-118.2449709
L.A. FAMILY HOUSING KITCHEN,7843 LANKERSHIM BLVD,NORTH HOLLYWOOD,91605,07/11/2013,93,Restaurant,34.2135801,-118.3881429
MORALES ICE CREAM,9523 AVALON BLVD,LOS ANGELES,90003,07/10/2013,99,Restaurant,33.9493759,-118.2655975
THE BLACK SHEEP,126 E 6TH ST,LOS ANGELES,90014,07/10/2013,93,Restaurant,34.0448008,-118.2494269
MERLE NORMAN COSMETICS CAFETER,15180 BLEDSOE ST,SYLMAR,91342,07/09/2013,99,Restaurant,34.3065313,-118.4636091
MERLE NORMAN CAFETERIA #2,15180 BLEDSOE ST,SYLMAR,91342,07/09/2013,96,Restaurant,34.3065313,-118.4636091
ATHENEA,14755 VENTURA BLVD,SHERMAN OAKS,91403,07/08/2013,92,Restaurant,34.152316,-118.4550382
VIBE CAFE,14919 VENTURA BLVD,SHERMAN OAKS,91403,07/08/2013,96,Restaurant,34.1527891,-118.4581071
EL TROPICO RESTAURANT,7758 DENSMORE AVE,VAN NUYS,91405,07/08/2013,92,Restaurant,34.2118577,-118.4770934
UNION RESCUE MISSION CAFETERIA,545 S SAN PEDRO ST,LOS ANGELES,90013,07/03/2013,100,Restaurant,34.043327,-118.245111
"CAMP WILLIAMS CAFE, INC",24210 E FORK ROAD # 40,AZUSA,91702,06/30/2013,100,Restaurant,34.232838,-117.790014
CRYSTAL LAKE SNACK BAR & STORE,9877 CRYSTAL LAKE RD,AZUSA,91702,06/30/2013,100,Restaurant,34.3041758,-117.8401543
COSMIC CAFE,100 MOUNT WILSON CIR,COUNTY STRIP NORTH,91023,06/30/2013,100,Restaurant,34.22763,-118.0677
STEP UP ON VINE,1057 N VINE ST,LOS ANGELES,90038,06/28/2013,95,Restaurant,34.090092,-118.326847
