Name,Address,City,Zip,Date,Score,Type,Lat,Lng,kind,external_i,name_1,slug,set,metadata,resource_u
East Los Angeles,469 AMALIA AVE,LOS ANGELES,90022,09/04/2013,99,Restaurant,34.027324,-118.154338,L.A. County Neighborhood (V6),east-los-angeles,,east-los-angeles-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""East Los Angeles"", ""region"": ""eastside"", ""county"": ""los-a",/1.0/boundary/east-los-angeles-la-county-neighborhood-v6/
East Los Angeles,319 N HUMPHREYS AVE,LOS ANGELES,90022,08/29/2013,100,Restaurant,34.0391035,-118.1713877,L.A. County Neighborhood (V6),east-los-angeles,,east-los-angeles-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""East Los Angeles"", ""region"": ""eastside"", ""county"": ""los-a",/1.0/boundary/east-los-angeles-la-county-neighborhood-v6/
Bell,5600 RICKENBACKER RD 2AB,BELL,90201,07/30/2013,91,Restaurant,33.9775142,-118.1870156,L.A. County Neighborhood (V6),bell,,bell-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Bell"", ""region"": ""southeast"", ""county"": ""los-angeles"", ""t",/1.0/boundary/bell-la-county-neighborhood-v6/
Downtown,554 S SAN PEDRO ST,LOS ANGELES,90013,07/29/2013,94,Restaurant,34.0425979,-118.2449709,L.A. County Neighborhood (V6),downtown,,downtown-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": ""los-angeles"", ""name"": ""Downtown"", ""region"": ""central-la"", ""county"": """,/1.0/boundary/downtown-la-county-neighborhood-v6/
Sun Valley,7843 LANKERSHIM BLVD,NORTH HOLLYWOOD,91605,07/11/2013,93,Restaurant,34.2135801,-118.3881429,L.A. County Neighborhood (V6),sun-valley,,sun-valley-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": ""los-angeles"", ""name"": ""Sun Valley"", ""region"": ""san-fernando-valley"",",/1.0/boundary/sun-valley-la-county-neighborhood-v6/
Green Meadows,9523 AVALON BLVD,LOS ANGELES,90003,07/10/2013,99,Restaurant,33.9493759,-118.2655975,L.A. County Neighborhood (V6),green-meadows,,green-meadows-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": ""los-angeles"", ""name"": ""Green Meadows"", ""region"": ""south-la"", ""county""",/1.0/boundary/green-meadows-la-county-neighborhood-v6/
Downtown,126 E 6TH ST,LOS ANGELES,90014,07/10/2013,93,Restaurant,34.0448008,-118.2494269,L.A. County Neighborhood (V6),downtown,,downtown-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": ""los-angeles"", ""name"": ""Downtown"", ""region"": ""central-la"", ""county"": """,/1.0/boundary/downtown-la-county-neighborhood-v6/
Sylmar,15180 BLEDSOE ST,SYLMAR,91342,07/09/2013,99,Restaurant,34.3065313,-118.4636091,L.A. County Neighborhood (V6),sylmar,,sylmar-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": ""los-angeles"", ""name"": ""Sylmar"", ""region"": ""san-fernando-valley"", ""cou",/1.0/boundary/sylmar-la-county-neighborhood-v6/
Sylmar,15180 BLEDSOE ST,SYLMAR,91342,07/09/2013,96,Restaurant,34.3065313,-118.4636091,L.A. County Neighborhood (V6),sylmar,,sylmar-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": ""los-angeles"", ""name"": ""Sylmar"", ""region"": ""san-fernando-valley"", ""cou",/1.0/boundary/sylmar-la-county-neighborhood-v6/
Sherman Oaks,14755 VENTURA BLVD,SHERMAN OAKS,91403,07/08/2013,92,Restaurant,34.152316,-118.4550382,L.A. County Neighborhood (V6),sherman-oaks,,sherman-oaks-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": ""los-angeles"", ""name"": ""Sherman Oaks"", ""region"": ""san-fernando-valley""",/1.0/boundary/sherman-oaks-la-county-neighborhood-v6/
