Name,Address,City,Zip,Date,Score,Type
"4TH STREET PRIMARY CENTER","469 AMALIA AVE","LOS ANGELES","90022","09/04/2013","99","Restaurant"
"SOLIS LEARNING ACADEMY","319 N HUMPHREYS AVE","LOS ANGELES","90022","08/29/2013","100","Restaurant"
"THE BELL SHELTER KITCHEN","5600 RICKENBACKER RD 2AB","BELL","90201","07/30/2013","91","Restaurant"
"WEINGART CENTER CAFE","554 S SAN PEDRO ST","LOS ANGELES","90013","07/29/2013","94","Restaurant"
"L.A. FAMILY HOUSING KITCHEN","7843 LANKERSHIM BLVD","NORTH HOLLYWOOD","91605","07/11/2013","93","Restaurant"
"MORALES ICE CREAM","9523 AVALON BLVD","LOS ANGELES","90003","07/10/2013","99","Restaurant"
"THE BLACK SHEEP","126 E 6TH ST","LOS ANGELES","90014","07/10/2013","93","Restaurant"
"MERLE NORMAN COSMETICS CAFETER","15180 BLEDSOE ST","SYLMAR","91342","07/09/2013","99","Restaurant"
"MERLE NORMAN CAFETERIA #2","15180 BLEDSOE ST","SYLMAR","91342","07/09/2013","96","Restaurant"
"ATHENEA","14755 VENTURA BLVD","SHERMAN OAKS","91403","07/08/2013","92","Restaurant"
"VIBE CAFE","14919 VENTURA BLVD","SHERMAN OAKS","91403","07/08/2013","96","Restaurant"
"EL TROPICO RESTAURANT","7758 DENSMORE AVE","VAN NUYS","91405","07/08/2013","92","Restaurant"
"UNION RESCUE MISSION CAFETERIA","545 S SAN PEDRO ST","LOS ANGELES","90013","07/03/2013","100","Restaurant"
"CAMP WILLIAMS CAFE, INC","24210 E FORK ROAD # 40","AZUSA","91702","06/30/2013","100","Restaurant"
"CRYSTAL LAKE SNACK BAR & STORE","9877 CRYSTAL LAKE RD","AZUSA","91702","06/30/2013","100","Restaurant"
"COSMIC CAFE","100 MOUNT WILSON CIR","COUNTY STRIP NORTH","91023","06/30/2013","100","Restaurant"
"STEP UP ON VINE","1057 N VINE ST","LOS ANGELES","90038","06/28/2013","95","Restaurant"
"HOL. PARK CASINO MAIN KITCHEN","3883 W CENTURY BLVD","INGLEWOOD","90301","06/28/2013","80","Restaurant"
"CHERRYSTONES","15501 S VERMONT AVE","GARDENA","90247","06/28/2013","92","Restaurant"
"PRONTO'S BURGER","110 W EL SEGUNDO BLVD","LOS ANGELES","90061","06/28/2013","90","Restaurant"
"STATER BROS. #49 (DELI)","1055 W FOOTHILL BLVD","CLAREMONT","91711","06/28/2013","93","Restaurant"
"EDWARDS WEST COVINA CINEMAS","265 S GLENDORA AVE MAIN","WEST COVINA","91790","06/28/2013","100","Restaurant"
"EDWARDS WEST COVINA CINEMAS","265 S GLENDORA AVE","WEST COVINA","91790","06/28/2013","98","Restaurant"
"EDWARDS WEST COVINA CINEMAS","265 S GLENDORA AVE SR","WEST COVINA","91791","06/28/2013","100","Restaurant"
"EDDIE'S NEW YORK PIZZERIA","1065 W FOOTHILL BLVD","CLAREMONT","91711","06/28/2013","92","Restaurant"
"EL COLIMA BAR","1748 E FLORENCE AVE","LOS ANGELES","90001","06/28/2013","96","Restaurant"
"IN-N-OUT BURGER #53","25220 THE OLD ROAD","NEWHALL","91321","06/28/2013","95","Restaurant"
"JAMAICA'S BEST, INC.","10842 MAGNOLIA BLVD","NORTH HOLLYWOOD","91601","06/28/2013","93","Restaurant"
"HAVEN BURGERS","3515 RODEO RD","LOS ANGELES","90008","06/28/2013","94","Restaurant"
"MAMITA","714 S BRAND BLVD","GLENDALE","91204","06/28/2013","99","Restaurant"
"LOTUS CHINESE CUISINE","511 N GLENOAKS BLVD","BURBANK","91502","06/28/2013","100","Restaurant"
"Y'S CHOICE CAFE","321 E MAGNOLIA BLVD","BURBANK","91502","06/28/2013","100","Restaurant"
"THE LOCAL PEASANT","22901 VENTURA BLVD","WOODLAND HILLS","91364","06/28/2013","90","Restaurant"
"YASS ALBURZ","6001 FALLBROOK AVE","WOODLAND HILLS","91367","06/28/2013","91","Restaurant"
"H PARK STAND 11,12, & BAR 3","1050 S PRAIRIE AVE","INGLEWOOD","90301","06/27/2013","96","Restaurant"
"CHESTER FRIED","633 W MANCHESTER BLVD","INGLEWOOD","90301","06/27/2013","86","Restaurant"
"MARISCOS NAYARIT","10020 S FIGUEROA ST","LOS ANGELES","90003","06/27/2013","90","Restaurant"
"HOLLYWOOD PARK STANDS 26, 29","1050 S PRAIRIE AVE","INGLEWOOD","90301","06/27/2013","100","Restaurant"
"HOLLYWOOD PARK STAND 41","1050 S PRAIRIE AVE","INGLEWOOD","90301","06/27/2013","100","Restaurant"
"H PARK STAND 25 & 38","1050 S PRAIRIE AVE","INGLEWOOD","90301","06/27/2013","99","Restaurant"
"HP TURF CLUB KITCHEN & BAR 60","1050 S PRAIRIE AVE","INGLEWOOD","90301","06/27/2013","94","Restaurant"
"LA GRAN VIA BAKERY","4461 LENNOX BLVD","LENNOX","90304","06/27/2013","93","Restaurant"
"H PARK STANDS 43, BAR 35","1050 S PRAIRIE AVE","INGLEWOOD","90301","06/27/2013","99","Restaurant"
"KRISPY KREME","1199 W ARTESIA BLVD","GARDENA","90248","06/27/2013","89","Restaurant"
"MONGOLIAN BBQ","970 W FOOTHILL BLVD","CLAREMONT","91711","06/27/2013","91","Restaurant"
"KELLEY'S","8148 FIRESTONE BLVD","DOWNEY","90241","06/27/2013","96","Restaurant"
"SUPREME DRAGON","18406 COLIMA RD #E-F","ROWLAND HEIGHTS","91748","06/27/2013","86","Restaurant"
"GREEN ISLAND","17515 COLIMA RD #B","CITY OF INDUSTRY","91748","06/27/2013","92","Restaurant"
"FURAIBO TEBA SAKI CHICKEN","17859 E COLIMA RD","CITY OF INDUSTRY","91748","06/27/2013","96","Restaurant"
"WABA GRILL TERIYAKI HOUSE","440 AUTO CENTER DR","CLAREMONT","91711","06/27/2013","94","Restaurant"
"EL RANCHERO MEXICAN FOOD","984 W FOOTHILL BLVD","CLAREMONT","91711","06/27/2013","95","Restaurant"
"AMERICAN LEGION,  #335","9535 CALIFORNIA AVE","SOUTH GATE","90280","06/27/2013","96","Restaurant"
"SONIC DRIVE-IN #5964","40124 W 10TH ST","PALMDALE","93551","06/27/2013","100","Restaurant"
"LUVI,S CAFE","26455 GOLDEN VALLEY RD","SANTA CLARITA","91350","06/27/2013","98","Restaurant"
"WALMART SUPERCENTER-DELI/BKRY","26471 CARL BOYER DR","SANTA CLARITA","91350","06/27/2013","94","Restaurant"
"ROBEKS JUICE","26810 THE OLD ROAD","VALENCIA","91355","06/27/2013","100","Restaurant"
"LADY DI'S COOKIES","26882 THE OLD ROAD","VALENCIA","91381","06/27/2013","100","Restaurant"
"LEE'S  CHINESE FASTFOOD","445 E ANAHEIM ST","WILMINGTON","90744","06/27/2013","90","Restaurant"
"SUBWAY SANDWICHES","26888 THE OLD ROAD","STEVENSON RANCH","91381","06/27/2013","100","Restaurant"
"SUSHI SHO KEN","26894 THE OLD ROAD","VALENCIA","91381","06/27/2013","95","Restaurant"
"THE CRATER CAFE -JPL #190","4800 OAK GROVE DR #190","PASADENA","91109","06/27/2013","97","Restaurant"
"THE ORBIT CAFE - JPL","4800 OAK GROVE DR #303","PASADENA","91109","06/27/2013","94","Restaurant"
"BROASTER KITCHEN","1440 W BEVERLY BLVD","MONTEBELLO","90640","06/27/2013","80","Restaurant"
"LITTLE MEXICO","2302 W WHITTIER BLVD","MONTEBELLO","90640","06/27/2013","96","Restaurant"
"EXECUTIVE KITCHEN","4024 RADFORD AVE","STUDIO CITY","91604","06/27/2013","99","Restaurant"
"CBS  COMMISSARY CARLA'S CAFE","4024 RADFORD AVE","STUDIO CITY","91604","06/27/2013","90","Restaurant"
"THE RED PLANET CAFE #167","4800 OAK GROVE DR #167","PASADENA","91109","06/27/2013","90","Restaurant"
"SPECIALTY LAB CAFETERIA","27027 TOURNEY RD","VALENCIA","91355","06/27/2013","91","Restaurant"
"CBS BROADCAST CTR. COMMISS.","4200 RADFORD AVE BSMT","STUDIO CITY","91604","06/27/2013","96","Restaurant"
"JAS FOUR SEASONS CAFE","28201 FRANKLIN PKWY","SANTA CLARITA","91383","06/27/2013","92","Restaurant"
"DON QUIXOTE","2811 E OLYMPIC BLVD","LOS ANGELES","90023","06/27/2013","99","Restaurant"
"MOVSES GOLDEN PASTRY","1755 W GLENOAKS BLVD","GLENDALE","91201","06/27/2013","96","Restaurant"
"DON ZARAPE #2","5560 VINELAND AVE E&F;","NORTH HOLLYWOOD","91601","06/27/2013","90","Restaurant"
"DEL MAR CAFE","712 S DEL MAR AVE","SAN GABRIEL","91776","06/27/2013","90","Restaurant"
"MALEK RESTAURANT","20050 VANOWEN ST #J","CANOGA PARK","91306","06/27/2013","86","Restaurant"
"SALT RESTAURANT","26500 AGOURA RD #116","CALABASAS","91302","06/27/2013","90","Restaurant"
"BRANDYWINE RESTAURANT","22757 VENTURA BLVD","WOODLAND HILLS","91367","06/27/2013","95","Restaurant"
"CURRY UP CAFE","21912 VENTURA BLVD","WOODLAND HILLS","91364","06/27/2013","95","Restaurant"
"TRIMANA GRILL","21600 OXNARD ST 130","WOODLAND HILLS","91367","06/27/2013","96","Restaurant"
"VICTORY PRODUCE-BAKERY & DELI","19801 VANOWEN ST A1","CANOGA PARK","91306","06/27/2013","80","Restaurant"
"TOMOYA SUSHI 7 IZAKAYA","6020 A CANOGA AVE","WOODLAND HILLS","91367","06/27/2013","95","Restaurant"
"CHIPOTLE MEXICAN GRILL","16350 VENTURA BLVD","ENCINO","91436","06/27/2013","92","Restaurant"
"HILTON WOODLAND HILLS","6360 CANOGA AVE","WOODLAND HILLS","91367","06/27/2013","97","Restaurant"
"BJ'S RESTAURANTS INC.","6424 CANOGA AVE","WOODLAND HILLS","91367","06/27/2013","97","Restaurant"
"PIERRES PASTRY","20429 SHERMAN WY","CANOGA PARK","91306","06/27/2013","90","Restaurant"
"ZOOMA SUSHI","29350 PACIFIC COAST HWY","MALIBU","90265","06/27/2013","93","Restaurant"
"RAJ'S SUBS INC","1101 S VERMONT AVE. #112","LOS ANGELES","90006","06/26/2013","95","Restaurant"
"YOSHINOYA BEEF BOWL","2897 W OLYMPIC BLVD #101","LOS ANGELES","90006","06/26/2013","91","Restaurant"
"PHILLIP'S BBQ","4307 LEIMERT BLVD","LOS ANGELES","90008","06/26/2013","96","Restaurant"
"FEED ALL CAFE","8687 MELROSE AVE","WEST HOLLYWOOD","90069","06/26/2013","99","Restaurant"
"ANTIGUA RESTAURANT &  BAKERY","4074 W CENTURY BLVD","INGLEWOOD","90304","06/26/2013","90","Restaurant"
"HAVANA HUT","6801 HOLLYWOOD BLVD #205","LOS ANGELES","90028","06/26/2013","90","Restaurant"
"LA FONDA  RESTAURANT OF ING.","4649 W CENTURY BLVD","INGLEWOOD","90304","06/26/2013","82","Restaurant"
"EREWHON DELI - TSUNAMI SUSHI","7660 BEVERLY BLVD","LOS ANGELES","90036","06/26/2013","92","Restaurant"
