name,sum,count,avg
Adams-Normandie,645,7,92.14285714
Agoura Hills,376,4,94
Alhambra,726,8,90.75
Alondra Park,90,1,90
Altadena,170,2,85
Angeles Crest,300,3,100
Arcadia,2342,25,93.68
Artesia,1446,16,90.375
Atwater Village,281,3,93.66666667
Avalon,182,2,91
Azusa,1977,21,94.14285714
Baldwin Hills/Crenshaw,539,6,89.83333333
Baldwin Park,1420,15,94.66666667
Bell,473,5,94.6
Bell Gardens,185,2,92.5
Bellflower,388,4,97
Beverly Crest,96,1,96
Beverly Grove,1398,15,93.2
Beverly Hills,2318,25,92.72
Boyle Heights,3268,35,93.37142857
Brentwood,90,1,90
Broadway-Manchester,192,2,96
Burbank,5012,53,94.56603774
Calabasas,641,7,91.57142857
Canoga Park,1142,12,95.16666667
Carson,1676,18,93.11111111
Carthay,91,1,91
Castaic,289,3,96.33333333
Castaic Canyons,683,7,97.57142857
Central-Alameda,1114,12,92.83333333
Century City,268,3,89.33333333
Cerritos,1400,15,93.33333333
Chatsworth,1429,15,95.26666667
Chesterfield Square,96,1,96
Chinatown,466,5,93.2
Claremont,1505,16,94.0625
Commerce,649,7,92.71428571
Compton,1223,13,94.07692308
Covina,2091,23,90.91304348
Culver City,185,2,92.5
Cypress Park,98,1,98
Del Rey,557,6,92.83333333
Diamond Bar,1688,18,93.77777778
Downey,2659,28,94.96428571
Downtown,8278,87,95.14942529
Eagle Rock,387,4,96.75
East Hollywood,659,7,94.14285714
East Los Angeles,1869,20,93.45
East San Gabriel,98,1,98
East Whittier,98,1,98
Echo Park,477,5,95.4
El Monte,1210,13,93.07692308
El Segundo,94,1,94
El Sereno,188,2,94
Elysian Park,977,10,97.7
Encino,1398,15,93.2
Exposition Park,898,10,89.8
Fairfax,1224,13,94.15384615
Florence,277,3,92.33333333
Florence-Firestone,570,6,95
Gardena,2240,24,93.33333333
Glendale,7256,77,94.23376623
Glendora,1138,12,94.83333333
Granada Hills,93,1,93
Green Meadows,569,6,94.83333333
Griffith Park,180,2,90
Hacienda Heights,380,4,95
Hancock Park,96,1,96
Harbor Gateway,376,4,94
Harvard Heights,283,3,94.33333333
Harvard Park,550,6,91.66666667
Hawaiian Gardens,618,7,88.28571429
Hawthorne,1205,13,92.69230769
Hermosa Beach,188,2,94
Highland Park,271,3,90.33333333
Historic South-Central,1094,12,91.16666667
Hollywood,829,9,92.11111111
Hollywood Hills,91,1,91
Hollywood Hills West,295,3,98.33333333
Huntington Park,768,8,96
Hyde Park,937,10,93.7
Industry,1231,13,94.69230769
Inglewood,2745,30,91.5
Irwindale,188,2,94
Jefferson Park,183,2,91.5
Koreatown,270,3,90
La Canada Flintridge,2426,25,97.04
La Crescenta-Montrose,192,2,96
La Mirada,727,8,90.875
La Puente,99,1,99
La Verne,1048,11,95.27272727
Ladera Heights,80,1,80
Lake Balboa,469,5,93.8
Lake Los Angeles,181,2,90.5
Lakewood,2490,27,92.22222222
Lancaster,4084,43,94.97674419
Lawndale,451,5,90.2
Leimert Park,287,3,95.66666667
Lennox,93,1,93
Lincoln Heights,277,3,92.33333333
Lomita,94,1,94
Long Beach,92,1,92
Los Feliz,471,5,94.2
Lynwood,1028,11,93.45454545
Malibu,279,3,93
Manhattan Beach,933,10,93.3
Mar Vista,360,4,90
Marina del Rey,193,2,96.5
Maywood,191,2,95.5
Mid-City,92,1,92
Mid-Wilshire,94,1,94
Mission Hills,184,2,92
Monrovia,369,4,92.25
Montebello,845,9,93.88888889
Montecito Heights,95,1,95
Monterey Park,828,9,92
North Hills,380,4,95
North Hollywood,2355,25,94.2
Northeast Antelope Valley,100,1,100
Northridge,1132,12,94.33333333
Northwest Antelope Valley,189,2,94.5
Norwalk,2585,28,92.32142857
Pacific Palisades,90,1,90
Pacoima,1093,12,91.08333333
Palmdale,2689,28,96.03571429
Palms,379,4,94.75
Panorama City,838,9,93.11111111
Paramount,380,4,95
Pico Rivera,1315,14,93.92857143
Pico-Robertson,647,7,92.42857143
Pico-Union,749,8,93.625
